country,Lat,Long,suicides_no,population,suicides100k pop
Antigua and Barbuda,17.15666667,-61.81,0,3708,0
Antigua and Barbuda,17.15766667,-61.809,0,1141,0
Antigua and Barbuda,17.15866667,-61.808,0,7209,0
Antigua and Barbuda,17.15966667,-61.807,0,5826,0
Antigua and Barbuda,17.16066667,-61.806,0,5907,0
Antigua and Barbuda,17.16166667,-61.805,0,6355,0
Antigua and Barbuda,17.16266667,-61.804,0,2813,0
Antigua and Barbuda,17.16366667,-61.803,0,603,0
Antigua and Barbuda,17.16466667,-61.802,0,7152,0
Antigua and Barbuda,17.16566667,-61.801,0,6059,0
Antigua and Barbuda,17.16666667,-61.8,0,5969,0
Antigua and Barbuda,17.16766667,-61.799,0,6621,0
Antigua and Barbuda,17.16866667,-61.798,0,3696,0
Antigua and Barbuda,17.16966667,-61.797,0,1195,0
Antigua and Barbuda,17.17066667,-61.796,0,6927,0
Antigua and Barbuda,17.17166667,-61.795,0,5835,0
Antigua and Barbuda,17.17266667,-61.794,0,5862,0
Antigua and Barbuda,17.17366667,-61.793,0,6403,0
Antigua and Barbuda,17.17466667,-61.792,0,2843,0
Antigua and Barbuda,17.17566667,-61.791,0,676,0
Antigua and Barbuda,17.17666667,-61.79,1,5799,17.24
Antigua and Barbuda,17.17766667,-61.789,0,6827,0
Antigua and Barbuda,17.17866667,-61.788,0,6172,0
Antigua and Barbuda,17.17966667,-61.787,0,5895,0
Antigua and Barbuda,17.18066667,-61.786,0,6877,0
Antigua and Barbuda,17.18166667,-61.785,0,3706,0
Antigua and Barbuda,17.18266667,-61.784,0,1252,0
Antigua and Barbuda,17.18366667,-61.783,0,6598,0
Antigua and Barbuda,17.18466667,-61.782,0,5937,0
Antigua and Barbuda,17.18566667,-61.781,0,6611,0
Antigua and Barbuda,17.18666667,-61.78,0,2902,0
Antigua and Barbuda,17.18766667,-61.779,0,758,0
Antigua and Barbuda,17.18866667,-61.778,0,6595,0
Antigua and Barbuda,17.18966667,-61.777,0,6396,0
Antigua and Barbuda,17.19066667,-61.776,0,6198,0
Antigua and Barbuda,17.19166667,-61.775,0,7089,0
Antigua and Barbuda,17.19266667,-61.774,0,3665,0
Antigua and Barbuda,17.19366667,-61.773,0,1293,0
Antigua and Barbuda,17.19466667,-61.772,0,6401,0
Antigua and Barbuda,17.19566667,-61.771,0,6156,0
Antigua and Barbuda,17.19666667,-61.77,0,6122,0
Antigua and Barbuda,17.19766667,-61.769,0,6818,0
Antigua and Barbuda,17.19866667,-61.768,0,2857,0
Antigua and Barbuda,17.19966667,-61.767,0,804,0
Antigua and Barbuda,17.20066667,-61.766,0,6369,0
Antigua and Barbuda,17.20166667,-61.765,0,6650,0
Antigua and Barbuda,17.20266667,-61.764,0,6534,0
Antigua and Barbuda,17.20366667,-61.763,0,7311,0
Antigua and Barbuda,17.20466667,-61.762,0,3648,0
Antigua and Barbuda,17.20566667,-61.761,0,1339,0
Antigua and Barbuda,17.20666667,-61.76,0,6221,0
Antigua and Barbuda,17.20766667,-61.759,0,6409,0
Antigua and Barbuda,17.20866667,-61.758,0,6497,0
Antigua and Barbuda,17.20966667,-61.757,0,7059,0
Antigua and Barbuda,17.21066667,-61.756,0,2851,0
Antigua and Barbuda,17.21166667,-61.755,0,853,0
Antigua and Barbuda,17.21266667,-61.754,1,6668,15
Antigua and Barbuda,17.21366667,-61.753,0,6182,0
Antigua and Barbuda,17.21466667,-61.752,0,6914,0
Antigua and Barbuda,17.21566667,-61.751,0,6917,0
Antigua and Barbuda,17.21666667,-61.75,0,7529,0
Antigua and Barbuda,17.21766667,-61.749,0,3662,0
Antigua and Barbuda,17.21866667,-61.748,0,1386,0
Antigua and Barbuda,17.21966667,-61.747,0,6069,0
Antigua and Barbuda,17.22066667,-61.746,0,6915,0
Antigua and Barbuda,17.22166667,-61.745,0,7298,0
Antigua and Barbuda,17.22266667,-61.744,0,2879,0
Antigua and Barbuda,17.22366667,-61.743,0,896,0
Antigua and Barbuda,17.22466667,-61.742,0,6083,0
Antigua and Barbuda,17.22566667,-61.741,0,7151,0
Antigua and Barbuda,17.22666667,-61.74,0,7357,0
Antigua and Barbuda,17.22766667,-61.739,0,7722,0
Antigua and Barbuda,17.22866667,-61.738,0,3715,0
Antigua and Barbuda,17.22966667,-61.737,0,1437,0
Antigua and Barbuda,17.23066667,-61.736,0,5976,0
Antigua and Barbuda,17.23166667,-61.735,0,6886,0
Antigua and Barbuda,17.23266667,-61.734,0,7359,0
Antigua and Barbuda,17.23366667,-61.733,0,7494,0
Antigua and Barbuda,17.23466667,-61.732,0,2935,0
Antigua and Barbuda,17.23566667,-61.731,0,929,0
Antigua and Barbuda,17.23666667,-61.73,0,6099,0
Antigua and Barbuda,17.23766667,-61.729,0,7333,0
Antigua and Barbuda,17.23866667,-61.728,0,7851,0
Antigua and Barbuda,17.23966667,-61.727,0,7885,0
Antigua and Barbuda,17.24066667,-61.726,0,3808,0
Antigua and Barbuda,17.24166667,-61.725,0,1488,0
Antigua and Barbuda,17.24266667,-61.724,0,5953,0
Antigua and Barbuda,17.24366667,-61.723,0,7023,0
Antigua and Barbuda,17.24466667,-61.722,0,7809,0
Antigua and Barbuda,17.24566667,-61.721,0,7632,0
Antigua and Barbuda,17.24666667,-61.72,0,3021,0
Antigua and Barbuda,17.24766667,-61.719,0,944,0
Antigua and Barbuda,17.24866667,-61.718,0,6529,0
Antigua and Barbuda,17.24966667,-61.717,0,8332,0
Antigua and Barbuda,17.25066667,-61.716,0,9615,0
Antigua and Barbuda,17.25166667,-61.715,0,8183,0
Antigua and Barbuda,17.25266667,-61.714,0,3921,0
Antigua and Barbuda,17.25366667,-61.713,0,1476,0
Antigua and Barbuda,17.25466667,-61.712,0,5916,0
Antigua and Barbuda,17.25566667,-61.711,0,7294,0
Antigua and Barbuda,17.25666667,-61.71,0,9086,0
Antigua and Barbuda,17.25766667,-61.709,0,7706,0
Antigua and Barbuda,17.25866667,-61.708,0,3213,0
Antigua and Barbuda,17.25966667,-61.707,0,954,0
Antigua and Barbuda,17.26066667,-61.706,0,6589,0
Antigua and Barbuda,17.26166667,-61.705,0,8526,0
Antigua and Barbuda,17.26266667,-61.704,0,10311,0
Antigua and Barbuda,17.26366667,-61.703,0,8314,0
Antigua and Barbuda,17.26466667,-61.702,0,3968,0
Antigua and Barbuda,17.26566667,-61.701,0,1451,0
Antigua and Barbuda,17.26666667,-61.7,0,5845,0
Antigua and Barbuda,17.26766667,-61.699,0,7263,0
Antigua and Barbuda,17.26866667,-61.698,0,9537,0
Antigua and Barbuda,17.26966667,-61.697,0,7805,0
Antigua and Barbuda,17.27066667,-61.696,0,3276,0
Antigua and Barbuda,17.27166667,-61.695,0,947,0
Antigua and Barbuda,17.27266667,-61.694,1,3333,30
Antigua and Barbuda,17.27366667,-61.693,1,10033,9.97
Antigua and Barbuda,17.27466667,-61.692,0,6616,0
Antigua and Barbuda,17.27566667,-61.691,0,8595,0
Antigua and Barbuda,17.27666667,-61.69,0,11040,0
Antigua and Barbuda,17.27766667,-61.689,0,8439,0
Antigua and Barbuda,17.27866667,-61.688,0,3986,0
Antigua and Barbuda,17.27966667,-61.687,0,1413,0
Antigua and Barbuda,17.28066667,-61.686,0,5783,0
Antigua and Barbuda,17.28166667,-61.685,0,7177,0
Antigua and Barbuda,17.28266667,-61.684,0,7973,0
Antigua and Barbuda,17.28366667,-61.683,0,938,0
Antigua and Barbuda,17.28466667,-61.682,2,10281,19.45
Antigua and Barbuda,17.28566667,-61.681,0,6902,0
Antigua and Barbuda,17.28666667,-61.68,0,8425,0
Antigua and Barbuda,17.28766667,-61.679,0,11402,0
Antigua and Barbuda,17.28866667,-61.678,0,8428,0
Antigua and Barbuda,17.28966667,-61.677,0,4037,0
Antigua and Barbuda,17.29066667,-61.676,0,1487,0
Antigua and Barbuda,17.29166667,-61.675,0,6084,0
Antigua and Barbuda,17.29266667,-61.674,0,7071,0
Antigua and Barbuda,17.29366667,-61.673,0,7958,0
Antigua and Barbuda,17.29466667,-61.672,0,3442,0
Antigua and Barbuda,17.29566667,-61.671,0,980,0
Antigua and Barbuda,17.29666667,-61.67,0,7196,0
Antigua and Barbuda,17.29766667,-61.669,0,8155,0
Antigua and Barbuda,17.29866667,-61.668,0,11760,0
Antigua and Barbuda,17.29966667,-61.667,0,8408,0
Antigua and Barbuda,17.30066667,-61.666,0,4050,0
Antigua and Barbuda,17.30166667,-61.665,0,1547,0
Antigua and Barbuda,17.30266667,-61.664,0,6416,0
Antigua and Barbuda,17.30366667,-61.663,0,6921,0
Antigua and Barbuda,17.30466667,-61.662,0,10604,0
Antigua and Barbuda,17.30566667,-61.661,0,7980,0
Antigua and Barbuda,17.30666667,-61.66,0,3527,0
Antigua and Barbuda,17.30766667,-61.659,0,1024,0
Antigua and Barbuda,17.30866667,-61.658,1,3594,27.82
Antigua and Barbuda,17.30966667,-61.657,0,7454,0
Antigua and Barbuda,17.31066667,-61.656,0,7831,0
Antigua and Barbuda,17.31166667,-61.655,0,12129,0
Antigua and Barbuda,17.31266667,-61.654,0,8423,0
Antigua and Barbuda,17.31366667,-61.653,0,4054,0
Antigua and Barbuda,17.31466667,-61.652,0,1583,0
Antigua and Barbuda,17.31566667,-61.651,0,6730,0
Antigua and Barbuda,17.31666667,-61.65,0,6734,0
Antigua and Barbuda,17.31766667,-61.649,0,10997,0
Antigua and Barbuda,17.31866667,-61.648,0,8061,0
Antigua and Barbuda,17.31966667,-61.647,0,1068,0
Antigua and Barbuda,17.32066667,-61.646,1,3665,27.29
Antigua and Barbuda,17.32166667,-61.645,1,11406,8.77
Antigua and Barbuda,17.32266667,-61.644,0,7648,0
Antigua and Barbuda,17.32366667,-61.643,0,7531,0
Antigua and Barbuda,17.32466667,-61.642,0,12492,0
Antigua and Barbuda,17.32566667,-61.641,0,8488,0
Antigua and Barbuda,17.32666667,-61.64,0,4088,0
